Proposição;Casa;Autoria;Apresentação;Tema;Ementa;Comissão/órgão;Estágio;Última movimentação;Data da movimentação;Prioridade;Observações
PL 1648/2024;Senado;Senador Jayme Campos (UNIÃO/MT);2024-05-07;ITR — responsabilidade técnica e emendas do CFTA;Altera a Lei nº 9.393/1996 (ITR) e a Lei nº 11.250/2005.;CAE;Pronta para pauta;PRONTA PARA A PAUTA NA COMISSÃO.;2026-08-10;urgente;
PL 1905/2023;Senado;Câmara dos Deputados (Dep. Dr. Jaziel);2025-12-22;Reurb-E e Termo de Responsabilidade Técnica;Altera a Lei nº 13.465/2017 para incluir instituições religiosas, de assistência social e sem fins lucrativos na Reurb-E e o Termo de Responsabilidade Técnica entre os documentos exigidos.;CCJ;Parecer aprovado;APROVADO PARECER NA COMISSÃO.;2026-08-06;urgente;Acompanhar conexão com regularização fundiária e georreferenciamento. Incluir os técnicos agrícolas como agentes aptos a realizar levantamentos planialtimétricos e georreferenciamentos para fins de Reurb.
PL 4926/2023;Senado;Senador Zequinha Marinho (PODEMOS/PA);2023-10-09;Isenção de anuidade de conselhos para pessoas idosas;Acrescenta o art. 26-A à Lei nº 10.741/2003 para isentar pessoas idosas do pagamento de contribuições aos conselhos de fiscalização profissional.;CAE;Pronta para pauta;PRONTA PARA A PAUTA NA COMISSÃO.;2026-07-16;urgente;
PL 3584/2015;Câmara;Evair de Melo;2015-11-11;Política Nacional de Incentivo às Agroindústrias;Institui a Política Nacional de Incentivo às Agroindústrias.;CCJC;Retirado de pauta;Retirado de pauta, de ofício, em razão da ausência do Relator.;2026-07-15;urgente;Um dos projetos mais próximos de avanço. Aprovado na CDEIC (2016) e na CAPADR (2016). Na CCJC, conclusiva, aguardava o parecer do relator Dep. Pedro Lupion. Trabalhar o relatório no Senado.
PL 6348/2019;Câmara;Vilson da Fetaemg;2019-12-10;Denominação “Cachaça Artesanal”;Cria a denominação “Cachaça Artesanal” e disciplina sua produção, fiscalização, controle e comercialização.;CICS;Retirado de pauta;Retirado de pauta, de ofício, em razão da ausência do Relator.;2026-07-14;alta;Incluído a partir da demanda prioritária do usuário.
PL 4110/2024;Câmara;Juarez Costa;2024-10-29;Documento de responsabilidade técnica em imóveis rurais;Altera a Lei nº 6.015/1973 para dispor sobre o documento de responsabilidade técnica no desmembramento, parcelamento ou remembramento de imóveis rurais.;MESA;Prazo recursal encerrado;Encerramento automático do prazo de recurso em 08/07/2026. Não foram apresentados recursos.;2026-07-08;urgente;Um dos projetos mais estratégicos para atuação imediata.
PL 1882/2023;Senado;Senador Zequinha Marinho (PL/PA);2023-04-13;Mandatos em entidades de classe e conselhos;Disciplina os mandatos de membros de entidades de classe e de organizações de interesse público.;CAS;Com a relatoria;MATÉRIA COM A RELATORIA.;2026-06-30;alta;
PL 699/2023;Câmara;Senado Federal — Laércio Oliveira;2024-03-21;Profert — Programa de Desenvolvimento da Indústria de Fertilizantes;Institui o Programa de Desenvolvimento da Indústria de Fertilizantes (Profert).;MESA;Remetido ao Senado;Remessa ao Senado Federal por meio do Of. nº 141/2026/SGM-P.;2026-06-24;alta;
PL 2782/2019;Câmara;Giovani Cherini;2019-05-09;Técnicos agrícolas no Minha Casa Minha Vida;Acrescenta o art. 11-A à Lei nº 11.977/2009 (PMCMV) para incluir os técnicos agrícolas.;CCJC;Recebido em comissão;Recebimento pela CCJC.;2026-05-29;alta;Projeto com aderência direta à atuação profissional em habitação rural.
PL 4993/2024;Câmara;Duda Salabert;2024-12-19;Política Nacional de Segurança de Barragens;Altera a Lei nº 12.334/2010 (Política Nacional de Segurança de Barragens).;CMADS;Em tramitação;Parecer do Relator, Dep. Nilto Tatto (PT-SP), pela aprovação com emenda e rejeição das Emendas 1 a 4/25.;2026-05-27;urgente;"Pronto para pauta; atuação imediata."
PL 1968/2022;Senado;Senador Jorge Kajuru (PODEMOS/GO);2022-07-10;Transparência da taxa de registro (ART);Altera a Lei nº 6.496/1977 para dar transparência ao contratante sobre os valores recolhidos a título de taxa de registro (ART).;CAS;Pronta para pauta;PRONTA PARA A PAUTA NA COMISSÃO.;2026-05-21;alta;
PL 4257/2025;Câmara;Enfermeira Rejane;2025-08-27;Combate ao racismo nos conselhos profissionais;Obriga a inclusão de normas de prevenção ao racismo e promoção da igualdade racial nos códigos de ética profissionais.;CCP;Parecer publicado;Encaminhada à publicação. Parecer da CDHMIR publicado no DCD de 22/05/2026, Letra A.;2026-05-21;alta;Mencionado no áudio como pendente na CCP.
PL 4187/2025;Câmara;Clodoaldo Magalhães;2025-08-22;Sistema Nacional de Sementes e Mudas;Altera a Lei nº 10.711/2003, que dispõe sobre o Sistema Nacional de Sementes e Mudas.;CMADS;Relator designado;Designado Relator, Dep. Coronel Chrisóstomo (PL-RO).;2026-05-19;alta;Tema estratégico para sementes e mudas.
PDL 443/2025;Câmara;Rodolfo Nogueira;2025-07-07;Sustação do decreto de redução de agrotóxicos;Susta o Decreto nº 12.538/2025, que institui o Programa Nacional de Redução de Agrotóxicos.;CCJC;Recebido em comissão;Recebimento pela CCJC.;2026-05-14;alta;
PL 1367/2022;Câmara;Laercio Oliveira;2013-08-14;Controle integrado de vetores e pragas urbanas;Dispõe sobre a prestação dos serviços de controle integrado de vetores e pragas urbanas por empresas especializadas.;CCJC;Relator designado;Designado Relator, Dep. José Rocha (UNIÃO-BA).;2026-05-07;alta;Consta como demanda de atuação direta na CCJC. Aguardando apreciação das emendas do Senado pela CCJC. Relatório OK.
PL 1024/2020;Câmara;Poder Executivo;2020-03-25;Regulação das profissões de Engenheiro, Arquiteto e Engenheiro-Agrônomo;Altera a Lei nº 5.194/1966, que regula o exercício das profissões de Engenheiro, Arquiteto e Engenheiro-Agrônomo.;MESA;Remetido ao Senado;Remessa ao Senado Federal por meio do Of. nº 315/2026/PS-GSE.;2026-05-06;alta;Tema de fronteira profissional.
PL 3280/2021;Câmara;Heitor Schuch;2021-09-22;Regularização documental de imóveis rurais;Dispõe sobre a regularização documental de imóveis em áreas rurais de domínio particular fora da Amazônia Legal.;CASP;Prazo de emendas encerrado;Encerrado o prazo de emendas ao substitutivo (09/04 a 22/04/2026). Não foram apresentadas emendas.;2026-04-22;alta;
PL 4158/2025;Câmara;Mersinho Lucena;2025-08-21;Regulamentação da atividade de arborista;Dispõe sobre a atividade profissional de arborista.;CCP;Parecer publicado;Encaminhada à publicação. Parecer da Comissão de Trabalho publicado no DCD de 17/04/2026, Letra A.;2026-04-16;alta;Mencionado no áudio como pendente na CCP.
PLP 125/2023;Câmara;Jorge Goetten;2023-05-24;Alteração do Simples Nacional;Altera a LC nº 123/2006, a Lei nº 12.592/2012 e a LC nº 116/2003.;CPASF;Relatoria devolvida;Devolvida pelo Relator sem manifestação.;2026-04-15;urgente;"Prioridade 2 nas anotações; precisa decisão estratégica do CFTA."
